name,name_bn,specialty,specialty_bn,area,area_bn,district,division,phone,hours,rating,is_verified,is_active
Dr. Kamal Hossain 27,ডা. কামাল হোসেন 27,Neurologist,নিউরোলজিস্ট,Agrabad,,Rajshahi,Rajshahi,01711006302,Sat–Thu 9am–2pm,4.0,1,1
Dr. Nasrin Akter 28,ডা. নাসরিন আক্তার 28,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Zindabazar,,Khulna,Khulna,01711006439,Sun–Fri 5pm–9pm,4.1,0,1
Dr. Jahangir Alam 29,ডা. জাহাঙ্গীর আলম 29,ENT,নাক-কান-গলা বিশেষজ্ঞ,Sadar,,Sylhet,Sylhet,01711006576,Sat–Thu 9am–2pm,4.2,1,1
Dr. Ayesha Siddiqua 30,ডা. আয়েশা সিদ্দিকা 30,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Kotwali,,Barisal,Barisal,01711006713,Sun–Fri 5pm–9pm,4.3,0,1
Dr. Mizanur Rahman 31,ডা. মিজানুর রহমান 31,Cardiologist,কার্ডিওলজিস্ট,Mirpur,,Rangpur,Rangpur,01711006850,Sat–Thu 9am–2pm,4.4,1,1
Dr. Farhana Yasmin 32,ডা. ফারহানা ইয়াসমিন 32,Pediatrician,পেডিয়াট্রিশিয়ান,Dhanmondi,,Mymensingh,Mymensingh,01711006987,Sun–Fri 5pm–9pm,4.5,0,1
Dr. Rahim Uddin 33,ডা. রহিম উদ্দিন 33,Medicine,মেডিসিন,Uttara,,Dhaka,Dhaka,01711007124,Sat–Thu 9am–2pm,4.6,1,1
Dr. Salma Begum 34,ডা. সালমা বেগম 34,Dentist,ডেন্টিস্ট,Gulshan,,Chittagong,Chittagong,01711007261,Sun–Fri 5pm–9pm,4.7,0,1
Dr. Kamal Hossain 35,ডা. কামাল হোসেন 35,Gynecologist,গাইনোকোলজিস্ট,Mohammadpur,,Rajshahi,Rajshahi,01711007398,Sat–Thu 9am–2pm,4.8,1,1
Dr. Nasrin Akter 36,ডা. নাসরিন আক্তার 36,Orthopedic,অর্থোপেডিক,Banani,,Khulna,Khulna,01711007535,Sun–Fri 5pm–9pm,4.9,0,1
Dr. Jahangir Alam 37,ডা. জাহাঙ্গীর আলম 37,Neurologist,নিউরোলজিস্ট,Agrabad,,Sylhet,Sylhet,01711007672,Sat–Thu 9am–2pm,3.8,1,1
Dr. Ayesha Siddiqua 38,ডা. আয়েশা সিদ্দিকা 38,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Zindabazar,,Barisal,Barisal,01711007809,Sun–Fri 5pm–9pm,3.9,0,1
Dr. Mizanur Rahman 39,ডা. মিজানুর রহমান 39,ENT,নাক-কান-গলা বিশেষজ্ঞ,Sadar,,Rangpur,Rangpur,01711007946,Sat–Thu 9am–2pm,4.0,1,1
Dr. Farhana Yasmin 40,ডা. ফারহানা ইয়াসমিন 40,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Kotwali,,Mymensingh,Mymensingh,01711008083,Sun–Fri 5pm–9pm,4.1,0,1
Dr. Rahim Uddin 41,ডা. রহিম উদ্দিন 41,Cardiologist,কার্ডিওলজিস্ট,Mirpur,,Dhaka,Dhaka,01711008220,Sat–Thu 9am–2pm,4.2,1,1
Dr. Salma Begum 42,ডা. সালমা বেগম 42,Pediatrician,পেডিয়াট্রিশিয়ান,Dhanmondi,,Chittagong,Chittagong,01711008357,Sun–Fri 5pm–9pm,4.3,0,1
Dr. Kamal Hossain 43,ডা. কামাল হোসেন 43,Medicine,মেডিসিন,Uttara,,Rajshahi,Rajshahi,01711008494,Sat–Thu 9am–2pm,4.4,1,1
Dr. Nasrin Akter 44,ডা. নাসরিন আক্তার 44,Dentist,ডেন্টিস্ট,Gulshan,,Khulna,Khulna,01711008631,Sun–Fri 5pm–9pm,4.5,0,1
Dr. Jahangir Alam 45,ডা. জাহাঙ্গীর আলম 45,Gynecologist,গাইনোকোলজিস্ট,Mohammadpur,,Sylhet,Sylhet,01711008768,Sat–Thu 9am–2pm,4.6,1,1
Dr. Ayesha Siddiqua 46,ডা. আয়েশা সিদ্দিকা 46,Orthopedic,অর্থোপেডিক,Banani,,Barisal,Barisal,01711008905,Sun–Fri 5pm–9pm,4.7,0,1
Dr. Mizanur Rahman 47,ডা. মিজানুর রহমান 47,Neurologist,নিউরোলজিস্ট,Agrabad,,Rangpur,Rangpur,01711009042,Sat–Thu 9am–2pm,4.8,1,1
Dr. Farhana Yasmin 48,ডা. ফারহানা ইয়াসমিন 48,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Zindabazar,,Mymensingh,Mymensingh,01711009179,Sun–Fri 5pm–9pm,4.9,0,1
Dr. Rahim Uddin 49,ডা. রহিম উদ্দিন 49,ENT,নাক-কান-গলা বিশেষজ্ঞ,Sadar,,Dhaka,Dhaka,01711009316,Sat–Thu 9am–2pm,3.8,1,1
Dr. Salma Begum 50,ডা. সালমা বেগম 50,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Kotwali,,Chittagong,Chittagong,01711009453,Sun–Fri 5pm–9pm,3.9,0,1
